n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0, 'R',1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 1+0j, 2+0j, 1+0j, 2+0j, 1+0j, 0.5+0j, 0j, 1+0j, 0.5+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1, 'R',1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 1+0j, 2+0j, 1+0j, 2+0j, 1+0j, 0.5+0j, 0j, 1+0j, 0.5+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0, 'R',1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1, 'R',1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0, 'G',1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 1+0j, 2+0j, 1+0j, 2+0j, 1+0j, 0.5+0j, 0j, 1+0j, 0.5+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1, 'G',1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 1+0j, 2+0j, 1+0j, 2+0j, 1+0j, 0.5+0j, 0j, 1+0j, 0.5+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0, 'G',1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1, 'G',1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0, 'C',1,1,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1, 'C',1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 1+0j, 1+6.28319j, 1+0j, 1-6.28319j, 1+0j, 0.0247-0.15522j, 0j, 1+0j, 0.0247-0.15522j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0, 'C',1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1, 'C',1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0, 'L',1,1,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1, 'L',1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 1+0j, 1-0.15915j, 1+0j, 1+0.15915j, 1+0j, 0.9753+0.15522j, 0j, 1+0j, 0.9753+0.15522j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0, 'L',1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1, 'L',1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,0, 'R',1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.25+0j, 2+0j, 1+0j, 0.5+0j, 1+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,1, 'R',1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.25+0j, 2+0j, 1+0j, 0.5+0j, 1+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,0, 'R',1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,1, 'R',1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,0, 'G',1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.25+0j, 2+0j, 1+0j, 0.5+0j, 1+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,1, 'G',1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.25+0j, 2+0j, 1+0j, 0.5+0j, 1+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,0, 'G',1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,1, 'G',1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,0, 'C',1,1,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,1, 'C',1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 0.9753+0.15522j, 0.9753+0.15522j, 0.9753+0.15522j, 0.9753-0.15522j, 0.9753+0j, 1-0.15915j, -0.15915j, 0.9753+0.15522j, 1+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,0, 'C',1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,1, 'C',1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,0, 'L',1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
