n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0,R,1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 1+0j, 2+0j, 1+0j, 2+0j, 1+0j, 0.5+0j, 0j, 1+0j, 0.5+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1,R,1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 1+0j, 2+0j, 1+0j, 2+0j, 1+0j, 0.5+0j, 0j, 1+0j, 0.5+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0,R,1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1,R,1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0,G,1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 1+0j, 2+0j, 1+0j, 2+0j, 1+0j, 0.5+0j, 0j, 1+0j, 0.5+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1,G,1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 1+0j, 2+0j, 1+0j, 2+0j, 1+0j, 0.5+0j, 0j, 1+0j, 0.5+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0,G,1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1,G,1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0,C,1,1,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1,C,1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 1+0j, 1+6.283185307179586j, 1+0j, 1-6.283185307179586j, 1+0j, 0.024704523031857644-0.15522309613464763j, 0j, 1+0j, 0.024704523031857644-0.15522309613464763j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0,C,1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1,C,1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0,L,1,1,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1,L,1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 1+0j, 1.0000000000000002-0.15915494309189537j, 1+0j, 1.0000000000000002+0.15915494309189537j, 1+0j, 0.9752954769681422+0.1552230961346476j, 0j, 1+0j, 0.9752954769681422+0.1552230961346476j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,0,L,1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,0,0,1,1,L,1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,0,R,1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.25+0j, 2+0j, 1+0j, 0.5+0j, 1+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,1,R,1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.25+0j, 2+0j, 1+0j, 0.5+0j, 1+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,0,R,1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,1,R,1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,0,G,1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.25+0j, 2+0j, 1+0j, 0.5+0j, 1+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,1,G,1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.5+0j, 0.25+0j, 2+0j, 1+0j, 0.5+0j, 1+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,0,G,1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,1,G,1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,0,C,1,1,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,1,C,1,1,1,
Vin, Vout, Iin, Iout, Pin, Pout, Zin, Zout, Av, Ai
1+0j, 0.9752954769681422+0.1552230961346476j, 0.9752954769681422+0.1552230961346476j, 0.9752954769681422+0.1552230961346476j, 0.9752954769681422-0.1552230961346476j, 0.9752954769681421+0j, 1-0.15915494309189535j, -0.15915494309189535j, 0.9752954769681422+0.1552230961346476j, 1+0j
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,0,C,1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,1,C,1,2,1,
error,,,,,,,,,
error,,,,,,,,,
,,,,,,,,,
n1,n2,Rs,Rl,Frequency,Component Type,Component Value,Vs:1-Is:2,Source Value,
1,2,0,1,0,L,1,1,1,
