      Freq    Re(Vin),             Im(Vin),            Re(Vout),            Im(Vout),             Re(Iin),             Im(Iin),            Re(Iout),            Im(Iout),             Re(Pin),             Im(Pin),            Re(Zout),            Im(Zout),            Re(Pout),            Im(Pout),             Re(Zin),             Im(Zin),              Re(Av),              Im(Av),              Re(Ai),              Im(Ai),          
        Hz           V                    V                    V                    V                    A                    A                    A                    A                    W                    W                 Ohms                 Ohms                    W                    W                 Ohms                 Ohms                    L                    L                    L                    L          
 1.000e+01  5.000e+00, -4.995e-05,   5.545e-10,  3.330e-05,   1.663e-11,  9.990e-07,   1.109e-11,  6.660e-07,   3.327e-11, -4.995e-06,   1.000e+02, -1.998e-03,   2.218e-11,  0.000e+00,   3.333e+01, -5.005e+06,   4.436e-11,  6.660e-06,   6.667e-01,  0.000e+00,  
 2.041e+05  4.689e+00, -9.139e-01,   2.070e-01,  6.093e-01,   6.211e-03,  1.828e-02,   4.141e-03,  1.219e-02,   1.242e-02, -9.139e-02,   8.185e+01, -2.968e+01,   8.282e-03, -4.337e-19,   3.333e+01, -2.452e+02,   1.814e-02,  1.335e-01,   6.667e-01,  0.000e+00,  
 4.082e+05  4.052e+00, -1.395e+00,   6.319e-01,  9.298e-01,   1.896e-02,  2.789e-02,   1.264e-02,  1.860e-02,   3.791e-02, -1.395e-01,   6.004e+01, -3.267e+01,   2.528e-02,  0.000e+00,   3.333e+01, -1.226e+02,   6.882e-02,  2.531e-01,   6.667e-01,  0.000e+00,  
 6.123e+05  3.471e+00, -1.500e+00,   1.019e+00,  9.998e-01,   3.058e-02,  2.999e-02,   2.038e-02,  2.000e-02,   6.115e-02, -1.500e-01,   4.860e+01, -2.801e+01,   4.077e-02, -3.469e-18,   3.333e+01, -8.174e+01,   1.426e-01,  3.496e-01,   6.667e-01,  0.000e+00,  
 8.163e+05  3.054e+00, -1.432e+00,   1.298e+00,  9.547e-01,   3.893e-02,  2.864e-02,   2.595e-02,  1.909e-02,   7.786e-02, -1.432e-01,   4.288e+01, -2.335e+01,   5.191e-02,  6.939e-18,   3.333e+01, -6.131e+01,   2.282e-01,  4.196e-01,   6.667e-01,  0.000e+00,  
 1.020e+06  2.772e+00, -1.311e+00,   1.485e+00,  8.743e-01,   4.456e-02,  2.623e-02,   2.971e-02,  1.749e-02,   8.913e-02, -1.311e-01,   3.977e+01, -1.969e+01,   5.942e-02, -6.939e-18,   3.333e+01, -4.905e+01,   3.159e-01,  4.649e-01,   6.667e-01,  0.000e+00,  
 1.224e+06  2.582e+00, -1.186e+00,   1.612e+00,  7.907e-01,   4.837e-02,  2.372e-02,   3.224e-02,  1.581e-02,   9.673e-02, -1.186e-01,   3.794e+01, -1.691e+01,   6.449e-02, -3.469e-18,   3.333e+01, -4.087e+01,   3.994e-01,  4.898e-01,   6.667e-01,  0.000e+00,  
 1.429e+06  2.451e+00, -1.072e+00,   1.700e+00,  7.145e-01,   5.099e-02,  2.144e-02,   3.399e-02,  1.429e-02,   1.020e-01, -1.072e-01,   3.678e+01, -1.477e+01,   6.798e-02,  1.388e-17,   3.333e+01, -3.503e+01,   4.751e-01,  4.994e-01,   6.667e-01,  0.000e+00,  
 1.633e+06  2.358e+00, -9.720e-01,   1.762e+00,  6.480e-01,   5.285e-02,  1.944e-02,   3.523e-02,  1.296e-02,   1.057e-01, -9.720e-02,   3.601e+01, -1.308e+01,   7.046e-02, -3.469e-18,   3.333e+01, -3.065e+01,   5.418e-01,  4.983e-01,   6.667e-01,  0.000e+00,  
 1.837e+06  2.290e+00, -8.862e-01,   1.807e+00,  5.908e-01,   5.420e-02,  1.772e-02,   3.614e-02,  1.182e-02,   1.084e-01, -8.862e-02,   3.546e+01, -1.172e+01,   7.227e-02,  1.388e-17,   3.333e+01, -2.725e+01,   5.994e-01,  4.900e-01,   6.667e-01,  0.000e+00,  
 2.041e+06  2.239e+00, -8.125e-01,   1.841e+00,  5.417e-01,   5.522e-02,  1.625e-02,   3.681e-02,  1.083e-02,   1.104e-01, -8.125e-02,   3.507e+01, -1.062e+01,   7.362e-02,  1.041e-17,   3.333e+01, -2.452e+01,   6.488e-01,  4.773e-01,   6.667e-01,  0.000e+00,  
 2.245e+06  2.200e+00, -7.490e-01,   1.866e+00,  4.993e-01,   5.599e-02,  1.498e-02,   3.733e-02,  9.987e-03,   1.120e-01, -7.490e-02,   3.477e+01, -9.694e+00,   7.466e-02, -3.469e-18,   3.333e+01, -2.229e+01,   6.909e-01,  4.621e-01,   6.667e-01,  0.000e+00,  
 2.449e+06  2.170e+00, -6.940e-01,   1.887e+00,  4.627e-01,   5.660e-02,  1.388e-02,   3.773e-02,  9.253e-03,   1.132e-01, -6.940e-02,   3.455e+01, -8.917e+00,   7.546e-02, -3.469e-18,   3.333e+01, -2.044e+01,   7.268e-01,  4.456e-01,   6.667e-01,  0.000e+00,  
 2.653e+06  2.146e+00, -6.460e-01,   1.903e+00,  4.307e-01,   5.708e-02,  1.292e-02,   3.805e-02,  8.614e-03,   1.142e-01, -6.460e-02,   3.437e+01, -8.254e+00,   7.610e-02,  1.388e-17,   3.333e+01, -1.886e+01,   7.574e-01,  4.286e-01,   6.667e-01,  0.000e+00,  
 2.857e+06  2.127e+00, -6.039e-01,   1.915e+00,  4.026e-01,   5.746e-02,  1.208e-02,   3.831e-02,  8.052e-03,   1.149e-01, -6.039e-02,   3.423e+01, -7.681e+00,   7.661e-02, -1.735e-18,   3.333e+01, -1.752e+01,   7.836e-01,  4.118e-01,   6.667e-01,  0.000e+00,  
 3.061e+06  2.111e+00, -5.668e-01,   1.926e+00,  3.778e-01,   5.778e-02,  1.134e-02,   3.852e-02,  7.557e-03,   1.156e-01, -5.668e-02,   3.412e+01, -7.181e+00,   7.703e-02,  0.000e+00,   3.333e+01, -1.635e+01,   8.061e-01,  3.954e-01,   6.667e-01,  0.000e+00,  
 3.265e+06  2.098e+00, -5.337e-01,   1.935e+00,  3.558e-01,   5.804e-02,  1.067e-02,   3.869e-02,  7.116e-03,   1.161e-01, -5.337e-02,   3.402e+01, -6.742e+00,   7.738e-02, -1.735e-18,   3.333e+01, -1.533e+01,   8.255e-01,  3.796e-01,   6.667e-01,  0.000e+00,  
 3.469e+06  2.087e+00, -5.042e-01,   1.942e+00,  3.361e-01,   5.825e-02,  1.008e-02,   3.884e-02,  6.723e-03,   1.165e-01, -5.042e-02,   3.394e+01, -6.353e+00,   7.767e-02,  1.735e-18,   3.333e+01, -1.443e+01,   8.423e-01,  3.645e-01,   6.667e-01,  0.000e+00,  
 3.673e+06  2.078e+00, -4.777e-01,   1.948e+00,  3.185e-01,   5.844e-02,  9.554e-03,   3.896e-02,  6.369e-03,   1.169e-01, -4.777e-02,   3.388e+01, -6.006e+00,   7.792e-02,  0.000e+00,   3.333e+01, -1.362e+01,   8.569e-01,  3.502e-01,   6.667e-01,  0.000e+00,  
 3.878e+06  2.070e+00, -4.538e-01,   1.953e+00,  3.025e-01,   5.859e-02,  9.076e-03,   3.906e-02,  6.050e-03,   1.172e-01, -4.538e-02,   3.382e+01, -5.694e+00,   7.813e-02,  5.204e-18,   3.333e+01, -1.291e+01,   8.696e-01,  3.367e-01,   6.667e-01,  0.000e+00,  
 4.082e+06  2.064e+00, -4.321e-01,   1.958e+00,  2.880e-01,   5.873e-02,  8.641e-03,   3.915e-02,  5.761e-03,   1.175e-01, -4.321e-02,   3.378e+01, -5.414e+00,   7.830e-02,  3.469e-18,   3.333e+01, -1.226e+01,   8.808e-01,  3.240e-01,   6.667e-01,  0.000e+00,  
 4.286e+06  2.058e+00, -4.123e-01,   1.961e+00,  2.749e-01,   5.884e-02,  8.246e-03,   3.923e-02,  5.497e-03,   1.177e-01, -4.123e-02,   3.373e+01, -5.159e+00,   7.846e-02,  5.204e-18,   3.333e+01, -1.168e+01,   8.907e-01,  3.120e-01,   6.667e-01,  0.000e+00,  
 4.490e+06  2.053e+00, -3.942e-01,   1.965e+00,  2.628e-01,   5.895e-02,  7.885e-03,   3.930e-02,  5.257e-03,   1.179e-01, -3.942e-02,   3.370e+01, -4.927e+00,   7.859e-02,  8.674e-18,   3.333e+01, -1.115e+01,   8.994e-01,  3.008e-01,   6.667e-01,  0.000e+00,  
 4.694e+06  2.048e+00, -3.777e-01,   1.968e+00,  2.518e-01,   5.903e-02,  7.553e-03,   3.936e-02,  5.036e-03,   1.181e-01, -3.777e-02,   3.367e+01, -4.715e+00,   7.871e-02,  3.469e-18,   3.333e+01, -1.066e+01,   9.072e-01,  2.902e-01,   6.667e-01,  0.000e+00,  
 4.898e+06  2.044e+00, -3.624e-01,   1.970e+00,  2.416e-01,   5.911e-02,  7.248e-03,   3.941e-02,  4.832e-03,   1.182e-01, -3.624e-02,   3.364e+01, -4.520e+00,   7.881e-02,  1.735e-18,   3.333e+01, -1.022e+01,   9.141e-01,  2.802e-01,   6.667e-01,  0.000e+00,  
 5.102e+06  2.041e+00, -3.483e-01,   1.973e+00,  2.322e-01,   5.918e-02,  6.966e-03,   3.945e-02,  4.644e-03,   1.184e-01, -3.483e-02,   3.362e+01, -4.341e+00,   7.891e-02,  8.674e-18,   3.333e+01, -9.810e+00,   9.203e-01,  2.708e-01,   6.667e-01,  0.000e+00,  
 5.306e+06  2.038e+00, -3.353e-01,   1.975e+00,  2.235e-01,   5.924e-02,  6.705e-03,   3.949e-02,  4.470e-03,   1.185e-01, -3.353e-02,   3.360e+01, -4.176e+00,   7.899e-02, -3.469e-18,   3.333e+01, -9.432e+00,   9.259e-01,  2.620e-01,   6.667e-01,  0.000e+00,  
 5.510e+06  2.035e+00, -3.231e-01,   1.977e+00,  2.154e-01,   5.930e-02,  6.463e-03,   3.953e-02,  4.309e-03,   1.186e-01, -3.231e-02,   3.358e+01, -4.022e+00,   7.906e-02,  1.735e-18,   3.333e+01, -9.083e+00,   9.309e-01,  2.537e-01,   6.667e-01,  0.000e+00,  
 5.714e+06  2.033e+00, -3.119e-01,   1.978e+00,  2.079e-01,   5.934e-02,  6.237e-03,   3.956e-02,  4.158e-03,   1.187e-01, -3.119e-02,   3.356e+01, -3.879e+00,   7.913e-02,  1.735e-18,   3.333e+01, -8.759e+00,   9.354e-01,  2.458e-01,   6.667e-01,  0.000e+00,  
 5.918e+06  2.031e+00, -3.013e-01,   1.980e+00,  2.009e-01,   5.939e-02,  6.027e-03,   3.959e-02,  4.018e-03,   1.188e-01, -3.013e-02,   3.354e+01, -3.747e+00,   7.918e-02, -1.735e-18,   3.333e+01, -8.457e+00,   9.395e-01,  2.384e-01,   6.667e-01,  0.000e+00,  
 6.122e+06  2.029e+00, -2.915e-01,   1.981e+00,  1.943e-01,   5.943e-02,  5.830e-03,   3.962e-02,  3.886e-03,   1.189e-01, -2.915e-02,   3.353e+01, -3.622e+00,   7.924e-02,  2.602e-18,   3.333e+01, -8.175e+00,   9.433e-01,  2.313e-01,   6.667e-01,  0.000e+00,  
 6.327e+06  2.027e+00, -2.822e-01,   1.982e+00,  1.882e-01,   5.946e-02,  5.645e-03,   3.964e-02,  3.763e-03,   1.189e-01, -2.822e-02,   3.352e+01, -3.506e+00,   7.929e-02,  1.735e-18,   3.333e+01, -7.911e+00,   9.467e-01,  2.247e-01,   6.667e-01,  0.000e+00,  
 6.531e+06  2.025e+00, -2.736e-01,   1.983e+00,  1.824e-01,   5.950e-02,  5.472e-03,   3.966e-02,  3.648e-03,   1.190e-01, -2.736e-02,   3.351e+01, -3.397e+00,   7.933e-02,  0.000e+00,   3.333e+01, -7.664e+00,   9.498e-01,  2.184e-01,   6.667e-01,  0.000e+00,  
 6.735e+06  2.024e+00, -2.654e-01,   1.984e+00,  1.769e-01,   5.953e-02,  5.308e-03,   3.968e-02,  3.539e-03,   1.191e-01, -2.654e-02,   3.350e+01, -3.295e+00,   7.937e-02,  3.469e-18,   3.333e+01, -7.431e+00,   9.526e-01,  2.124e-01,   6.667e-01,  0.000e+00,  
 6.939e+06  2.022e+00, -2.577e-01,   1.985e+00,  1.718e-01,   5.955e-02,  5.155e-03,   3.970e-02,  3.436e-03,   1.191e-01, -2.577e-02,   3.349e+01, -3.198e+00,   7.941e-02, -8.674e-19,   3.333e+01, -7.213e+00,   9.553e-01,  2.067e-01,   6.667e-01,  0.000e+00,  
 7.143e+06  2.021e+00, -2.505e-01,   1.986e+00,  1.670e-01,   5.958e-02,  5.009e-03,   3.972e-02,  3.340e-03,   1.192e-01, -2.505e-02,   3.348e+01, -3.107e+00,   7.944e-02, -8.674e-19,   3.333e+01, -7.007e+00,   9.577e-01,  2.013e-01,   6.667e-01,  0.000e+00,  
