      Freq    Re(Vin),             Im(Vin),            Re(Vout),            Im(Vout),             Re(Iin),             Im(Iin),            Re(Iout),            Im(Iout),             Re(Pin),             Im(Pin),            Re(Zout),            Im(Zout),            Re(Pout),            Im(Pout),             Re(Zin),             Im(Zin),              Re(Av),              Im(Av),              Re(Ai),              Im(Ai),          
        Hz           V                    V                    V                    V                    A                    A                    A                    A                    W                    W                 Ohms                 Ohms                    W                    W                 Ohms                 Ohms                    L                    L                    L                    L          
 1.000e+01  5.000e+00, -1.571e-03,   1.105e-06,  1.571e-03,   2.211e-08,  3.142e-05,   2.211e-08,  3.142e-05,   6.119e-08, -1.571e-04,   6.200e+01, -1.592e+05,   4.935e-08,  0.000e+00,   6.200e+01, -1.592e+05,   1.224e-07,  3.142e-04,   1.000e+00,  0.000e+00,  
 2.041e+05  4.958e+00,  3.051e-01,   4.250e-02, -3.051e-01,   8.500e-04, -6.101e-03,   8.500e-04, -6.101e-03,   2.353e-03,  3.051e-02,   6.200e+01,  8.039e+02,   1.897e-03,  0.000e+00,   6.200e+01,  8.039e+02,   4.768e-03, -6.183e-02,   1.000e+00,  0.000e+00,  
 4.082e+05  4.989e+00,  1.536e-01,   1.062e-02, -1.536e-01,   2.125e-04, -3.073e-03,   2.125e-04, -3.073e-03,   5.882e-04,  1.536e-02,   6.200e+01,  1.620e+03,   4.743e-04,  6.776e-21,   6.200e+01,  1.620e+03,   1.180e-03, -3.083e-02,   1.000e+00,  0.000e+00,  
 6.123e+05  4.995e+00,  1.026e-01,   4.722e-03, -1.026e-01,   9.444e-05, -2.051e-03,   9.444e-05, -2.051e-03,   2.614e-04,  1.026e-02,   6.200e+01,  2.432e+03,   2.108e-04,  0.000e+00,   6.200e+01,  2.432e+03,   5.236e-04, -2.054e-02,   1.000e+00,  0.000e+00,  
 8.163e+05  4.997e+00,  7.695e-02,   2.656e-03, -7.695e-02,   5.312e-05, -1.539e-03,   5.312e-05, -1.539e-03,   1.470e-04,  7.695e-03,   6.200e+01,  3.245e+03,   1.186e-04, -8.470e-22,   6.200e+01,  3.245e+03,   2.943e-04, -1.540e-02,   1.000e+00,  0.000e+00,  
 1.020e+06  4.998e+00,  6.158e-02,   1.700e-03, -6.158e-02,   3.400e-05, -1.232e-03,   3.400e-05, -1.232e-03,   9.410e-05,  6.158e-03,   6.200e+01,  4.057e+03,   7.589e-05,  0.000e+00,   6.200e+01,  4.057e+03,   1.883e-04, -1.232e-02,   1.000e+00,  0.000e+00,  
 1.224e+06  4.999e+00,  5.132e-02,   1.181e-03, -5.132e-02,   2.361e-05, -1.026e-03,   2.361e-05, -1.026e-03,   6.535e-05,  5.132e-03,   6.200e+01,  4.869e+03,   5.270e-05,  0.000e+00,   6.200e+01,  4.869e+03,   1.307e-04, -1.027e-02,   1.000e+00,  0.000e+00,  
 1.429e+06  4.999e+00,  4.399e-02,   8.673e-04, -4.399e-02,   1.735e-05, -8.798e-04,   1.735e-05, -8.798e-04,   4.801e-05,  4.399e-03,   6.200e+01,  5.681e+03,   3.872e-05,  0.000e+00,   6.200e+01,  5.681e+03,   9.605e-05, -8.801e-03,   1.000e+00,  0.000e+00,  
 1.633e+06  4.999e+00,  3.849e-02,   6.640e-04, -3.849e-02,   1.328e-05, -7.699e-04,   1.328e-05, -7.699e-04,   3.676e-05,  3.849e-03,   6.200e+01,  6.493e+03,   2.965e-05,  1.059e-22,   6.200e+01,  6.493e+03,   7.353e-05, -7.700e-03,   1.000e+00,  0.000e+00,  
 1.837e+06  4.999e+00,  3.422e-02,   5.247e-04, -3.422e-02,   1.049e-05, -6.844e-04,   1.049e-05, -6.844e-04,   2.904e-05,  3.422e-03,   6.200e+01,  7.304e+03,   2.342e-05, -5.294e-23,   6.200e+01,  7.304e+03,   5.810e-05, -6.845e-03,   1.000e+00,  0.000e+00,  
