      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
 1.000e+01,  3.942e+00,  0.000e+00,  7.848e-01,  0.000e+00,  2.117e-02,  0.000e+00,  1.046e-02,  0.000e+00,  8.343e-02,  0.000e+00,  2.297e+02,  0.000e+00,  8.212e-03,  0.000e+00,  1.862e+02,  0.000e+00,  1.991e-01,  0.000e+00,  4.944e-01,  0.000e+00
 1.111e+06,  3.942e+00,  0.000e+00,  7.848e-01,  0.000e+00,  2.117e-02,  0.000e+00,  1.046e-02,  0.000e+00,  8.343e-02,  0.000e+00,  2.297e+02,  0.000e+00,  8.212e-03,  0.000e+00,  1.862e+02,  0.000e+00,  1.991e-01,  0.000e+00,  4.944e-01,  0.000e+00
 2.222e+06,  3.942e+00,  0.000e+00,  7.848e-01,  0.000e+00,  2.117e-02,  0.000e+00,  1.046e-02,  0.000e+00,  8.343e-02,  0.000e+00,  2.297e+02,  0.000e+00,  8.212e-03,  0.000e+00,  1.862e+02,  0.000e+00,  1.991e-01,  0.000e+00,  4.944e-01,  0.000e+00
 3.333e+06,  3.942e+00,  0.000e+00,  7.848e-01,  0.000e+00,  2.117e-02,  0.000e+00,  1.046e-02,  0.000e+00,  8.343e-02,  0.000e+00,  2.297e+02,  0.000e+00,  8.212e-03,  0.000e+00,  1.862e+02,  0.000e+00,  1.991e-01,  0.000e+00,  4.944e-01,  0.000e+00
 4.444e+06,  3.942e+00,  0.000e+00,  7.848e-01,  0.000e+00,  2.117e-02,  0.000e+00,  1.046e-02,  0.000e+00,  8.343e-02,  0.000e+00,  2.297e+02,  0.000e+00,  8.212e-03,  0.000e+00,  1.862e+02,  0.000e+00,  1.991e-01,  0.000e+00,  4.944e-01,  0.000e+00
 5.556e+06,  3.942e+00,  0.000e+00,  7.848e-01,  0.000e+00,  2.117e-02,  0.000e+00,  1.046e-02,  0.000e+00,  8.343e-02,  0.000e+00,  2.297e+02,  0.000e+00,  8.212e-03,  0.000e+00,  1.862e+02,  0.000e+00,  1.991e-01,  0.000e+00,  4.944e-01,  0.000e+00
 6.667e+06,  3.942e+00,  0.000e+00,  7.848e-01,  0.000e+00,  2.117e-02,  0.000e+00,  1.046e-02,  0.000e+00,  8.343e-02,  0.000e+00,  2.297e+02,  0.000e+00,  8.212e-03,  0.000e+00,  1.862e+02,  0.000e+00,  1.991e-01,  0.000e+00,  4.944e-01,  0.000e+00
 7.778e+06,  3.942e+00,  0.000e+00,  7.848e-01,  0.000e+00,  2.117e-02,  0.000e+00,  1.046e-02,  0.000e+00,  8.343e-02,  0.000e+00,  2.297e+02,  0.000e+00,  8.212e-03,  0.000e+00,  1.862e+02,  0.000e+00,  1.991e-01,  0.000e+00,  4.944e-01,  0.000e+00
 8.889e+06,  3.942e+00,  0.000e+00,  7.848e-01,  0.000e+00,  2.117e-02,  0.000e+00,  1.046e-02,  0.000e+00,  8.343e-02,  0.000e+00,  2.297e+02,  0.000e+00,  8.212e-03,  0.000e+00,  1.862e+02,  0.000e+00,  1.991e-01,  0.000e+00,  4.944e-01,  0.000e+00
 1.000e+07,  3.942e+00,  0.000e+00,  7.848e-01,  0.000e+00,  2.117e-02,  0.000e+00,  1.046e-02,  0.000e+00,  8.343e-02,  0.000e+00,  2.297e+02,  0.000e+00,  8.212e-03,  0.000e+00,  1.862e+02,  0.000e+00,  1.991e-01,  0.000e+00,  4.944e-01,  0.000e+00
