      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
 1.000e+01,  1.951e-05,  3.977e-03,  1.951e-05,  3.977e-03,  1.000e-01, -7.954e-05,  3.902e-07,  7.954e-05,  1.635e-06,  3.977e-04,  1.635e-04,  3.977e-02,  3.164e-07,  0.000e+00,  1.635e-04,  3.977e-02,  1.000e+00,  0.000e+00,  3.269e-06,  7.954e-04
 2.041e+05,  3.935e-01, -4.052e-01,  3.935e-01, -4.052e-01,  9.213e-02,  8.105e-03,  7.870e-03, -8.105e-03,  3.297e-02, -4.052e-02,  3.855e+00, -4.738e+00,  6.381e-03, -4.337e-19,  3.855e+00, -4.738e+00,  1.000e+00,  0.000e+00,  7.709e-02, -9.475e-02
 4.082e+05,  1.529e-01, -3.172e-01,  1.529e-01, -3.172e-01,  9.694e-02,  6.343e-03,  3.058e-03, -6.343e-03,  1.281e-02, -3.172e-02,  1.357e+00, -3.360e+00,  2.479e-03,  1.084e-19,  1.357e+00, -3.360e+00,  1.000e+00,  0.000e+00,  2.714e-02, -6.721e-02
 6.123e+05,  7.572e-02, -2.359e-01,  7.572e-02, -2.359e-01,  9.849e-02,  4.719e-03,  1.514e-03, -4.719e-03,  6.344e-03, -2.359e-02,  6.526e-01, -2.427e+00,  1.228e-03, -5.421e-20,  6.526e-01, -2.427e+00,  1.000e+00,  0.000e+00,  1.305e-02, -4.854e-02
 8.163e+05,  4.437e-02, -1.844e-01,  4.437e-02, -1.844e-01,  9.911e-02,  3.688e-03,  8.874e-04, -3.688e-03,  3.717e-03, -1.844e-02,  3.779e-01, -1.875e+00,  7.195e-04,  0.000e+00,  3.779e-01, -1.875e+00,  1.000e+00,  0.000e+00,  7.558e-03, -3.749e-02
 1.020e+06,  2.895e-02, -1.505e-01,  2.895e-02, -1.505e-01,  9.942e-02,  3.009e-03,  5.791e-04, -3.009e-03,  2.426e-03, -1.505e-02,  2.452e-01, -1.521e+00,  4.695e-04,  0.000e+00,  2.452e-01, -1.521e+00,  1.000e+00,  0.000e+00,  4.904e-03, -3.042e-02
 1.224e+06,  2.032e-02, -1.268e-01,  2.032e-02, -1.268e-01,  9.959e-02,  2.535e-03,  4.065e-04, -2.535e-03,  1.703e-03, -1.268e-02,  1.716e-01, -1.277e+00,  3.296e-04, -6.776e-21,  1.716e-01, -1.277e+00,  1.000e+00,  0.000e+00,  3.431e-03, -2.554e-02
 1.429e+06,  1.503e-02, -1.094e-01,  1.503e-02, -1.094e-01,  9.970e-02,  2.187e-03,  3.006e-04, -2.187e-03,  1.259e-03, -1.094e-02,  1.266e-01, -1.100e+00,  2.437e-04,  0.000e+00,  1.266e-01, -1.100e+00,  1.000e+00,  0.000e+00,  2.533e-03, -2.199e-02
 1.633e+06,  1.156e-02, -9.611e-02,  1.156e-02, -9.611e-02,  9.977e-02,  1.922e-03,  2.311e-04, -1.922e-03,  9.682e-04, -9.611e-03,  9.724e-02, -9.652e-01,  1.874e-04,  0.000e+00,  9.724e-02, -9.652e-01,  1.000e+00,  0.000e+00,  1.945e-03, -1.930e-02
