      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
 1.000e+01,  2.502e+00,  6.122e-02,  2.498e+00, -6.436e-02,  4.997e-02, -1.224e-03,  4.997e-02, -1.287e-03,  1.249e-01,  6.122e-03,  5.000e+01,  2.450e+00,  1.249e-01,  0.000e+00,  5.000e+01,  2.450e+00,  9.975e-01, -5.014e-02,  1.000e+00, -1.257e-03
 6.721e+03,  4.765e+00, -5.038e-01,  2.041e-01,  9.083e-01,  4.703e-03,  1.008e-02,  4.082e-03,  1.817e-02,  1.733e-02, -5.038e-02,  1.354e+02, -4.011e+02,  1.733e-02, -2.168e-18,  1.402e+02, -4.074e+02,  2.243e-02,  1.930e-01,  1.636e+00,  3.583e-01
 1.343e+04,  4.853e+00,  2.503e-01, -8.202e-02,  8.039e-01,  2.950e-03, -5.006e-03, -1.640e-03,  1.608e-02,  1.306e-02,  2.503e-02,  4.412e+02,  7.767e+02,  1.306e-02,  8.674e-19,  3.868e+02,  7.414e+02, -8.335e-03,  1.661e-01, -2.527e+00,  1.162e+00
 2.014e+04,  3.697e+00,  1.197e+00, -1.292e+00,  1.310e+00,  2.606e-02, -2.393e-02, -2.585e-02,  2.619e-02,  6.770e-02,  1.197e-01,  5.544e+01,  9.672e+01,  6.770e-02,  2.082e-17,  5.407e+01,  9.558e+01, -2.126e-01,  4.231e-01, -1.039e+00,  5.102e-02
 2.686e+04,  4.543e+00, -8.171e-01, -4.503e-01, -1.098e+00,  9.140e-03,  1.634e-02, -9.005e-03, -2.196e-02,  2.817e-02, -8.171e-02,  7.422e+01, -2.246e+02,  2.817e-02,  0.000e+00,  8.034e+01, -2.330e+02, -5.389e-02, -2.514e-01, -1.258e+00, -1.528e-01
 3.357e+04,  4.878e+00,  4.103e-02,  4.963e-03, -7.710e-01,  2.444e-03, -8.205e-04,  9.926e-05, -1.542e-02,  1.189e-02,  4.103e-03,  1.986e+03, -1.739e+02,  1.189e-02,  1.355e-20,  1.788e+03,  6.171e+02, -3.119e-04, -1.581e-01,  1.940e+00, -5.657e+00
 4.028e+04,  4.471e+00,  9.110e-01,  5.049e-01, -1.131e+00,  1.057e-02, -1.822e-02,  1.010e-02, -2.262e-02,  3.068e-02,  9.110e-02,  7.712e+01,  2.161e+02,  3.068e-02,  1.735e-18,  6.914e+01,  2.053e+02,  5.895e-02, -2.649e-01,  1.169e+00, -1.243e-01
 4.699e+04,  3.869e+00, -1.157e+00,  1.145e+00,  1.313e+00,  2.261e-02,  2.315e-02,  2.289e-02,  2.627e-02,  6.070e-02, -1.157e-01,  5.427e+01, -1.071e+02,  6.070e-02, -1.041e-17,  5.797e+01, -1.105e+02,  1.783e-01,  3.928e-01,  1.075e+00,  6.119e-02
 5.370e+04,  4.862e+00, -1.747e-01,  7.280e-02,  7.967e-01,  2.758e-03,  3.494e-03,  1.456e-03,  1.593e-02,  1.280e-02, -1.747e-02,  3.686e+02, -7.380e+02,  1.280e-02,  4.337e-19,  6.460e+02, -8.816e+02,  9.074e-03,  1.642e-01,  3.012e+00,  1.961e+00
 6.041e+04,  4.743e+00,  5.739e-01, -2.159e-01,  9.180e-01,  5.139e-03, -1.148e-02, -4.319e-03,  1.836e-02,  1.779e-02,  5.739e-02,  1.522e+02,  4.159e+02,  1.779e-02,  8.674e-19,  1.125e+02,  3.629e+02, -2.179e-02,  1.962e-01, -1.473e+00,  2.831e-01
 6.712e+04,  2.513e+00, -1.535e-01, -2.490e+00, -1.616e-01,  4.973e-02,  3.069e-03, -4.980e-02, -3.232e-03,  1.245e-01, -1.535e-02,  4.989e+01, -6.165e+00,  1.245e-01,  5.204e-18,  5.015e+01, -6.180e+00, -9.831e-01, -1.243e-01, -1.002e+00, -3.174e-03
 7.383e+04,  4.783e+00, -4.393e-01, -1.953e-01, -8.992e-01,  4.347e-03,  8.785e-03, -3.906e-03, -1.798e-02,  1.693e-02, -4.393e-02,  1.184e+02, -3.827e+02,  1.693e-02,  8.674e-19,  1.762e+02, -4.572e+02, -2.337e-02, -1.902e-01, -1.821e+00, -4.565e-01
 8.055e+04,  4.848e+00,  3.000e-01,  8.132e-02, -8.013e-01,  3.048e-03, -5.999e-03,  1.626e-03, -1.603e-02,  1.298e-02,  3.000e-02,  6.335e+02,  8.680e+02,  1.298e-02, -4.337e-19,  2.866e+02,  6.625e+02,  6.522e-03, -1.657e-01,  2.233e+00, -8.633e-01
 8.726e+04,  3.751e+00,  1.221e+00,  1.212e+00, -1.313e+00,  2.498e-02, -2.443e-02,  2.424e-02, -2.627e-02,  6.388e-02,  1.221e-01,  5.874e+01,  1.057e+02,  6.388e-02, -1.388e-17,  5.232e+01,  1.000e+02,  1.891e-01, -4.117e-01,  1.022e+00, -5.247e-02
 9.397e+04,  4.514e+00, -8.208e-01,  4.994e-01,  1.127e+00,  9.715e-03,  1.642e-02,  9.989e-03,  2.254e-02,  3.038e-02, -8.208e-02,  6.457e+01, -2.000e+02,  3.038e-02,  3.469e-18,  8.350e+01, -2.256e+02,  6.316e-02,  2.611e-01,  1.283e+00,  1.511e-01
 1.007e+05,  4.879e+00,  4.744e-02,  9.591e-03,  7.679e-01,  2.427e-03, -9.487e-04,  1.918e-04,  1.536e-02,  1.180e-02,  4.744e-03,  1.108e+03, -1.004e+03,  1.180e-02, -5.692e-19,  1.737e+03,  6.985e+02,  3.496e-03,  1.574e-01, -2.077e+00,  5.516e+00
 1.074e+05,  4.564e+00,  8.478e-01, -3.924e-01,  1.058e+00,  8.728e-03, -1.696e-02, -7.848e-03,  2.116e-02,  2.546e-02,  8.478e-02,  9.932e+01,  2.743e+02,  2.546e-02, -1.735e-18,  7.001e+01,  2.331e+02, -4.149e-02,  2.395e-01, -1.175e+00,  1.419e-01
 1.141e+05,  3.397e+00, -1.110e+00, -1.643e+00, -1.231e+00,  3.207e-02,  2.219e-02, -3.286e-02, -2.462e-02,  8.430e-02, -1.110e-01,  4.992e+01, -6.943e+01,  8.430e-02,  0.000e+00,  5.543e+01, -7.296e+01, -3.302e-01, -4.702e-01, -1.052e+00, -3.948e-02
 1.208e+05,  4.844e+00, -2.390e-01, -1.169e-01, -8.269e-01,  3.115e-03,  4.779e-03, -2.339e-03, -1.654e-02,  1.395e-02, -2.390e-02,  1.663e+02, -5.012e+02,  1.395e-02, -2.168e-19,  4.286e+02, -7.343e+02, -1.568e-02, -1.715e-01, -2.652e+00, -1.239e+00
 1.275e+05,  4.805e+00,  4.611e-01,  1.323e-01, -8.397e-01,  3.892e-03, -9.221e-03,  2.647e-03, -1.679e-02,  1.445e-02,  4.611e-02,  3.607e+02,  6.747e+02,  1.445e-02, -4.337e-19,  1.443e+02,  4.602e+02,  1.068e-02, -1.758e-01,  1.649e+00, -4.089e-01
 1.342e+05,  3.136e+00,  1.105e+00,  1.815e+00, -1.152e+00,  3.728e-02, -2.211e-02,  3.631e-02, -2.304e-02,  9.247e-02,  1.105e-01,  5.465e+01,  6.184e+01,  9.247e-02,  6.939e-18,  4.923e+01,  5.885e+01,  3.997e-01, -5.082e-01,  9.918e-01, -2.992e-02
 1.409e+05,  4.643e+00, -6.581e-01,  3.727e-01,  1.042e+00,  7.145e-03,  1.316e-02,  7.454e-03,  2.085e-02,  2.451e-02, -6.581e-02,  6.785e+01, -2.352e+02,  2.451e-02,  8.674e-19,  1.093e+02, -2.934e+02,  4.750e-02,  2.313e-01,  1.461e+00,  2.267e-01
